id,decimalLongitude,decimalLatitude,eventDate,institutionCode,collectionCode,catalogNumber,datasetName,phylum,order,family,genus,scientificName,originalScientificName,scientificNameAuthorship,obisID,resourceID,yearcollected,species,qc,aphiaID,speciesID,scientificNameID,class,depth,basisOfRecord,locality,minimumDepthInMeters,maximumDepthInMeters,continent,datasetID,eventID,geodeticDatum,modified,occurrenceID,occurrenceStatus,lifestage,coordinateUncertaintyInMeters,recordedBy,dynamicProperties,bibliographicCitation,specificEpithet,individualCount,identifiedBy,fieldNumber,otherCatalogNumbers,recordNumber,sex,references,occurrenceRemarks,eventTime
719030177,6,54.25,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_25441,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,40,HumanObservation,"North Sea, station 466",40,40,NorthSea,IMIS:dasid:1680,466_1,EPSG:4326,2015-08-24 16:45:17,25441,present,juvenile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719030430,7.94,54.13333333,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_26772,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,NA,HumanObservation,"North Sea, station 574",NA,NA,NorthSea,IMIS:dasid:1680,574_2,EPSG:4326,2015-08-24 16:45:17,26772,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719031111,8,54.75,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_26853,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,16,HumanObservation,"North Sea, station 522",16,16,NorthSea,IMIS:dasid:1680,522_1,EPSG:4326,2015-08-24 16:45:17,26853,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719031669,6,54.25,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_25626,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,40,HumanObservation,"North Sea, station 466",40,40,NorthSea,IMIS:dasid:1680,466_2,EPSG:4326,2015-08-24 16:45:17,25626,present,juvenile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719031693,7.833333333,54.15,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_26912,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,54,HumanObservation,"North Sea, station 576",54,54,NorthSea,IMIS:dasid:1680,576_1,EPSG:4326,2015-08-24 16:45:17,26912,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719032350,4,55.25,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_33146,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,44,HumanObservation,"North Sea, station 414",44,44,NorthSea,IMIS:dasid:1680,414_2,EPSG:4326,2015-08-24 16:45:17,33146,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719032805,6.083333333,55.08333333,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_31296,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,43,HumanObservation,"North Sea, station 553",43,43,NorthSea,IMIS:dasid:1680,553_1,EPSG:4326,2015-08-24 16:45:17,31296,present,juvenile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719032826,5.333333333,55.08333333,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_30447,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,41,HumanObservation,"North Sea, station 427",41,41,NorthSea,IMIS:dasid:1680,427_1,EPSG:4326,2015-08-24 16:45:17,30447,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719032827,5.333333333,55.08333333,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_30448,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,41,HumanObservation,"North Sea, station 427",41,41,NorthSea,IMIS:dasid:1680,427_1,EPSG:4326,2015-08-24 16:45:17,30448,present,juvenile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719033191,6,54.75,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_26994,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,41,HumanObservation,"North Sea, station 437",41,41,NorthSea,IMIS:dasid:1680,437_2,EPSG:4326,2015-08-24 16:45:17,26994,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719033283,7.916666667,53.91666667,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_25753,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,24,HumanObservation,"North Sea, station 495",24,24,NorthSea,IMIS:dasid:1680,495_1,EPSG:4326,2015-08-24 16:45:17,25753,present,juvenile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719033284,7.916666667,53.91666667,2000-07-01 10:00:00,VLIZ,NSBP,NSBP_project_25754,Macrozoobenthos data from the southeastern North Sea in 2000,Mollusca,Cardiida,Semelidae,Abra,Abra alba,Abra alba,"(W. Wood, 1802)",395450,712,2000,Abra alba,1073213567,141433,395450,urn:lsid:marinespecies.org:taxname:141433,Bivalvia,24,HumanObservation,"North Sea, station 495",24,24,NorthSea,IMIS:dasid:1680,495_1,EPSG:4326,2015-08-24 16:45:17,25754,present,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
